miR	Score	AvgRandScore	sd(randScore)	max(randScore)	Rank	count>=	pValue	FDR(0.05) thresh	BH-sig	pv_corrected	pv_adjusted
miR-181abcd/4262	0.4028	0.0893	0.0810	0.5010	1	3	0.002994	0.000246	0	0.607784	0.289421	,EGR1,ARRDC3,GPCPD1,CYR61,DUSP5,FOS
miR-203	0.3472	0.0779	0.0750	0.4650	2	7	0.006986	0.000493	0	0.709082	0.289421	,EGR1,GPCPD1,DUSP5,SOCS3
miR-148ab-3p/152	0.2917	0.0520	0.0608	0.4372	3	7	0.006986	0.000739	0	0.472721	0.289421	,ARRDC3,TMSB4X,GPCPD1
miR-543	0.2778	0.0659	0.0649	0.4067	4	9	0.008982	0.000985	0	0.455838	0.289421	,GPCPD1,CYR61,FOS
miR-191	0.0833	0.0045	0.0166	0.1255	5	9	0.008982	0.001232	0	0.364671	0.289421	,EGR1
miR-187	0.0694	0.0023	0.0117	0.1092	6	9	0.008982	0.001478	0	0.303892	0.289421	,ARRDC3
miR-297ac/297b-5p	0.1250	0.0155	0.0314	0.1802	7	10	0.009980	0.001724	0	0.289421	0.289421	,ARRDC3
miR-582-5p.dmrz	0.1806	0.0377	0.0503	0.4014	8	18	0.017964	0.001970	0	0.455838	0.345603	,ARRDC3,GPCPD1,DUSP5
miR-29abcd	0.2917	0.0807	0.0773	0.5312	9	19	0.018962	0.002217	0	0.427700	0.345603	,ARRDC3,GPCPD1,FOS
miR-33a-3p/365/365-3p	0.1250	0.0216	0.0371	0.3624	10	19	0.018962	0.002463	0	0.384930	0.345603	,ARRDC3
miR-664/664b	0.2083	0.0539	0.0599	0.4242	11	22	0.021956	0.002709	0	0.405190	0.345603	,CYP24A1,ARRDC3,GPCPD1
miR-223	0.1389	0.0285	0.0422	0.3089	12	22	0.021956	0.002956	0	0.371424	0.345603	,CYP24A1,ARRDC3
