miR	Score	AvgRandScore	sd(randScore)	max(randScore)	Rank	count>=	pValue	FDR(0.05) thresh	BH-sig	pv_corrected	pv_adjusted
miR-30abcdef/30abe-5p/384-5p	0.7292	0.2207	0.1237	0.7441	1	2	0.001996	0.000079	0	1.263473	0.631737	,CYR61,SOCS3,ANKRD1,CYP24A1,GPCPD1
miR-218/218a	0.6667	0.1992	0.1180	0.7264	2	2	0.001996	0.000158	0	0.631737	0.631737	,SOCS3,ARRDC3,CYP24A1,DUSP5,EGR1,GPCPD1
miR-466l-3p	1.5694	0.5167	0.2341	2.3683	3	3	0.002994	0.000237	0	0.631737	0.631737	,CYR61,SOCS3,SNX3,ARRDC3,ANKRD1,EGR1,FOS,GPCPD1,IL11
miR-466m-3p/466o-3p	0.7917	0.2615	0.1500	0.8851	4	5	0.004990	0.000316	0	0.789671	0.631737	,CYR61,ARRDC3,ANKRD1,CYP24A1,EGR1,GPCPD1,MBL2
miR-300/300-3p	0.4444	0.1379	0.0921	0.5941	5	5	0.004990	0.000395	0	0.631737	0.631737	,ANKRD1,TMSB4X,EGR1,GPCPD1
miR-551a	0.1389	0.0181	0.0343	0.2072	6	8	0.007984	0.000474	0	0.842315	0.631737	,SOCS3,DUSP5
miR-466n-3p	0.6806	0.2243	0.1288	0.9545	7	9	0.008982	0.000553	0	0.812233	0.631737	,ARRDC3,ANKRD1,CYP24A1,GPCPD1,MBL2
miR-5097	0.5278	0.1973	0.1167	0.7686	8	11	0.010978	0.000632	0	0.868638	0.631737	,SNX3,ARRDC3,HPX,EGR1,ASNS,FOS,LCK
miR-582-3p/1267/1396	0.4306	0.1365	0.0938	0.6215	9	11	0.010978	0.000711	0	0.772122	0.631737	,SOCS3,ARRDC3,ANKRD1,IL11
miR-3969	0.4028	0.1519	0.0969	0.6501	10	13	0.012974	0.000790	0	0.821257	0.631737	,CYR61,ARRDC3,GPCPD1,MBL2
miR-207	0.5972	0.2466	0.1346	0.8929	11	14	0.013972	0.000869	0	0.804028	0.631737	,CYR61,SOCS3,SNX3,ARRDC3,DUSP5,GPCPD1,LCK
miR-343/4287/4685-3p	0.5764	0.2293	0.1325	1.0609	12	14	0.013972	0.000948	0	0.737026	0.631737	,SOCS3,ARRDC3,ANKRD1,EGR1,GPCPD1
miR-431	0.3194	0.1182	0.0793	0.5436	13	15	0.014970	0.001027	0	0.728927	0.631737	,SNX3,ARRDC3,ANKRD1,ANXA3,FOS
miR-2139	0.1736	0.0342	0.0459	0.2661	14	15	0.014970	0.001106	0	0.676861	0.631737	,CYR61
miR-181abcd/4262	0.5417	0.2357	0.1248	0.8103	15	16	0.015968	0.001185	0	0.673852	0.631737	,CYR61,ARRDC3,DUSP5,EGR1,FOS,GPCPD1
miR-669m-3p	0.6250	0.2592	0.1440	1.1931	16	19	0.018962	0.001264	0	0.750187	0.631737	,SNX3,ARRDC3,ANKRD1,CYP24A1,GPCPD1,MBL2
miR-3105-5p	0.4306	0.1802	0.1061	0.6356	17	19	0.018962	0.001343	0	0.706058	0.631737	,CYR61,SNX3,ARRDC3,DUSP5,EGR1,MBL2
miR-1b-5p	0.4306	0.1600	0.1050	0.6445	18	19	0.018962	0.001422	0	0.666833	0.631737	,ANKRD1,CYP24A1,GPCPD1,MBL2
miR-3470a	0.4861	0.2087	0.1164	1.1779	19	20	0.019960	0.001501	0	0.664986	0.631737	,CYR61,ARRDC3,CYP24A1,DUSP5,FOS,MBL2
miR-511-5p	0.4861	0.2025	0.1146	0.8231	20	20	0.019960	0.001580	0	0.631737	0.631737	,ANKRD1,CYP24A1,DUSP5,FOS,IL11
miR-466b/466aep-5p/1187	0.5069	0.1964	0.1262	0.8403	21	23	0.022954	0.001659	0	0.691902	0.659203	,SNX3,ARRDC3,MBL2,LCK
miR-1931	0.3681	0.1455	0.0951	0.5880	22	23	0.022954	0.001738	0	0.660452	0.659203	,SOCS3,DUSP5,FOS,GPCPD1
miR-125a-3p/1554	0.4583	0.1928	0.1134	0.6431	23	24	0.023952	0.001817	0	0.659203	0.659203	,SOCS3,SNX3,ARRDC3,FOS,GPCPD1,IL11
miR-1298	0.2778	0.1104	0.0768	0.5820	24	26	0.025948	0.001896	0	0.684381	0.684381	,ANKRD1,CYP24A1,FOS,GPCPD1
miR-196abc	0.2639	0.0908	0.0757	0.4885	25	28	0.027944	0.001975	0	0.707545	0.707545	,ANKRD1,GPCPD1
miR-675-5p/4466	0.1389	0.0285	0.0444	0.2691	26	33	0.032934	0.002054	0	0.801819	0.767109	,SNX3,GPCPD1
miR-1198-5p	0.4028	0.1728	0.1087	0.6232	27	34	0.033932	0.002133	0	0.795520	0.767109	,ARRDC3,EGR1,MBL2,LCK
miR-5104	0.3472	0.1441	0.0954	0.4678	28	34	0.033932	0.002212	0	0.767109	0.767109	,SOCS3,ARRDC3,CYP24A1,DUSP5,GPCPD1,LCK
miR-466bcp-3p	0.4306	0.2057	0.1213	0.8169	29	37	0.036926	0.002291	0	0.806009	0.779142	,ANKRD1,CYP24A1,GPCPD1,MBL2
miR-33ab/33-5p	0.3194	0.1353	0.0919	0.4993	30	37	0.036926	0.002370	0	0.779142	0.779142	,ANKRD1,ANXA3,GPCPD1,MBL2
miR-1247	0.1389	0.0346	0.0504	0.4450	31	39	0.038922	0.002449	0	0.794765	0.789671	,ANKRD1,DUSP5
miR-412-5p	0.0694	0.0107	0.0252	0.2033	32	41	0.040918	0.002528	0	0.809412	0.789671	,FOS
miR-676.m	0.1389	0.0321	0.0467	0.2894	33	42	0.041916	0.002607	0	0.804028	0.789671	,IGFBP6,DUSP5
miR-679-3p	0.3194	0.1369	0.0926	0.5912	34	45	0.044910	0.002686	0	0.836122	0.789671	,SOCS3,ARRDC3,DUSP5,GPCPD1
miR-3082-3p	0.3472	0.1636	0.0994	0.5086	35	46	0.045908	0.002765	0	0.830282	0.789671	,ARRDC3,CYP24A1,EGR1,FOS,GPCPD1
miR-203	0.5278	0.2758	0.1401	0.9220	36	47	0.046906	0.002844	0	0.824767	0.789671	,CYR61,SOCS3,DUSP5,EGR1,GPCPD1,MBL2
miR-876-5p/3167	0.3333	0.1544	0.0980	0.6126	37	48	0.047904	0.002923	0	0.819550	0.789671	,SOCS3,ARRDC3,ANKRD1,CYP24A1,DUSP5
miR-345-5p.m	0.3333	0.1513	0.0982	0.6485	38	49	0.048902	0.003002	0	0.814608	0.789671	,SOCS3,EGR1,GPCPD1
miR-669ao-3p/669a-3-3p	0.2778	0.1194	0.0894	0.6049	39	51	0.050898	0.003081	0	0.826117	0.789671	,ARRDC3,CYP24A1,EGR1
miR-3078	0.4028	0.2039	0.1160	0.6669	40	54	0.053892	0.003160	0	0.852844	0.789671	,ARRDC3,ANKRD1,CYP24A1,EGR1,GPCPD1,IL11
miR-132/212/212-3p	0.3750	0.1865	0.1105	0.6545	41	54	0.053892	0.003239	0	0.832043	0.789671	,CYR61,ARRDC3,GPCPD1,IL11
miR-1966	0.3750	0.1752	0.1093	0.6571	42	56	0.055888	0.003318	0	0.842315	0.789671	,SNX3,CYP24A1,DUSP5,EGR1,GPCPD1,IL11
miR-199ab-3p/3129-5p	0.2778	0.1207	0.0884	0.5725	43	56	0.055888	0.003397	0	0.822727	0.789671	,CYP24A1,TMSB4X,DUSP5,EGR1
miR-539/539-5p	0.5139	0.2943	0.1320	0.7728	44	57	0.056886	0.003476	0	0.818386	0.789671	,SNX3,CYP24A1,FOS,GPCPD1,MBL2
miR-877	0.2778	0.1279	0.0861	0.4360	45	57	0.056886	0.003555	0	0.800200	0.789671	,ANKRD1,EGR1,GPCPD1,MBL2
miR-340-5p	0.6111	0.3399	0.1585	0.9752	46	60	0.059880	0.003633	0	0.824004	0.789671	,CYR61,SOCS3,SNX3,ARRDC3,ANKRD1,GPCPD1,IL11,MBL2
miR-760-5p	0.4306	0.2151	0.1250	0.9163	47	60	0.059880	0.003712	0	0.806472	0.789671	,SOCS3,SNX3,ARRDC3,EGR1,GPCPD1,MBL2
miR-871-5p/892b	0.3681	0.1848	0.1071	0.5588	48	60	0.059880	0.003791	0	0.789671	0.789671	,CYR61,ARRDC3,ANKRD1,FOS
miR-669b	0.5139	0.2487	0.1515	0.9698	49	62	0.061876	0.003870	0	0.799340	0.795988	,ARRDC3,CYP24A1,FOS
miR-3080-5p	0.1111	0.0290	0.0443	0.3019	50	63	0.062874	0.003949	0	0.795988	0.795988	,CYR61,DUSP5
miR-764-3p/1421i	0.3750	0.1906	0.1181	0.7760	51	72	0.071856	0.004028	0	0.891863	0.818918	,CYR61,SOCS3,TMSB4X,IGFBP6,FOS,GPCPD1
miR-5101	0.7500	0.4225	0.2225	2.1962	52	73	0.072854	0.004107	0	0.886861	0.818918	,SNX3,ARRDC3,TMSB4X,EGR1,FOS,GPCPD1,IL11
miR-1967	0.2292	0.1064	0.0802	0.4668	53	75	0.074850	0.004186	0	0.893967	0.818918	,EGR1,LCK
miR-144	0.3889	0.2135	0.1197	0.9897	54	77	0.076846	0.004265	0	0.900809	0.818918	,ARRDC3,FOS,GPCPD1,MBL2
miR-883ab-3p	0.3472	0.1786	0.1075	0.6312	55	78	0.077844	0.004344	0	0.895917	0.818918	,SNX3,ARRDC3,TMSB4X,EGR1,LCK
